Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
41,tt0245844,8/17/2015,8/17/2015,,The Count of Monte Cristo,The Count of Monte Cristo,https://www.imdb.com/title/tt0245844/,Movie,7.7,131,2002,"Action, Adventure, Drama, Thriller",151361,1/25/2002,Kevin Reynolds
42,tt0145600,8/17/2015,8/17/2015,,Brave New World,Brave New World,https://www.imdb.com/title/tt0145600/,TV Movie,5.2,87,1998,"Drama, Sci-Fi",2178,4/19/1998,"Leslie Libman, Larry Williams"
43,tt0452579,8/17/2015,8/17/2015,"Yes, Cosby is in this.  Sorry.",Aesop's Fables,Aesop's Fables,https://www.imdb.com/title/tt0452579/,TV Movie,6,30,1971,"Animation, Comedy, Family, Fantasy, Musical",45,10/31/1971,"Robert Chenault, Hal Sutherland"
44,tt0059399,8/17/2015,8/17/2015,,Lord Jim,Lord Jim,https://www.imdb.com/title/tt0059399/,Movie,6.7,154,1965,"Adventure, Drama, Romance",4328,2/25/1965,Richard Brooks
45,tt0348896,8/17/2015,8/17/2015,The Autobiography Of Benjamin Franklin by Benjamin Franklin,Benjamin Franklin,Benjamin Franklin,https://www.imdb.com/title/tt0348896/,TV Mini Series,8.1,210,2002,"Documentary, Biography, History",188,11/19/2002,
46,tt0072281,8/17/2015,8/17/2015,,The Three Musketeers,The Three Musketeers,https://www.imdb.com/title/tt0072281/,Movie,7.1,106,1973,"Action, Adventure, Romance",20579,3/29/1974,Richard Lester
47,tt1046510,8/17/2015,8/17/2015,Politics And The Poetics by Aristotle,The Great Philosophers: Aristotle,The Great Philosophers: Aristotle,https://www.imdb.com/title/tt1046510/,TV Episode,8,45,1987,"Documentary, History",9,9/13/1987,
48,tt0172319,8/17/2015,8/17/2015,The Aeneid by Virgil,Dido & Aeneas,Dido & Aeneas,https://www.imdb.com/title/tt0172319/,Movie,7.1,56,1995,,35,10/28/1995,Barbara Willis Sweete
49,tt2334733,8/17/2015,8/17/2015,,Madame Bovary,Madame Bovary,https://www.imdb.com/title/tt2334733/,Movie,5.7,118,2014,"Drama, Romance",8975,6/12/2015,Sophie Barthes
50,tt1709685,8/17/2015,8/17/2015,,Machiavelli's The Prince,Machiavelli's The Prince,https://www.imdb.com/title/tt1709685/,Short,8.2,30,2010,"Short, Action, Crime, Drama",11,,Julio Ponce Palmieri
51,tt1229822,8/17/2015,8/17/2015,,Jane Eyre,Jane Eyre,https://www.imdb.com/title/tt1229822/,Movie,7.3,120,2011,"Drama, Mystery, Romance",94219,4/22/2011,Cary Joji Fukunaga
52,tt0116477,8/17/2015,8/17/2015,,Hamlet,Hamlet,https://www.imdb.com/title/tt0116477/,Movie,7.7,242,1996,Drama,40545,12/25/1996,Kenneth Branagh
53,tt0190673,8/17/2015,8/17/2015,,Pygmalion,Pygmalion,https://www.imdb.com/title/tt0190673/,TV Movie,6.7,109,1983,Comedy,197,7/17/1983,Alan Cooke
54,tt0117496,8/17/2015,8/17/2015,,Robinson Crusoe,Robinson Crusoe,https://www.imdb.com/title/tt0117496/,Movie,6,105,1997,"Adventure, Drama",13395,6/12/1997,"Rod Hardy, George Miller"
55,tt0063518,8/17/2015,8/17/2015,,Romeo and Juliet,Romeo and Juliet,https://www.imdb.com/title/tt0063518/,Movie,7.6,138,1968,"Drama, Romance",35301,10/8/1968,Franco Zeffirelli
56,tt0144134,8/17/2015,8/17/2015,,The Cherry Orchard,The Cherry Orchard,https://www.imdb.com/title/tt0144134/,Movie,6.4,141,1999,Drama,723,1/12/2000,Michael Cacoyannis
57,tt1401113,8/17/2015,8/17/2015,,Dante's Inferno: An Animated Epic,Dante's Inferno: An Animated Epic,https://www.imdb.com/title/tt1401113/,Movie,6.5,88,2010,"Animation, Action, Adventure, Drama, Fantasy, Horror",10414,2/9/2010,"Victor Cook, Mike Disa, Sangjin Kim, Seungkyu Lee, Shûkô Murase, Jong-Sik Nam, Yasuomi Umetsu"
58,tt0397249,8/17/2015,8/17/2015,The Analects of Confucius by Confucius,Biography: Confucius: Words of Wisdom,Biography: Confucius: Words of Wisdom,https://www.imdb.com/title/tt0397249/,TV Episode,7.3,60,1998,"Documentary, Biography, History",120,3/27/1998,
59,tt0140379,8/20/2015,8/20/2015,,A Midsummer Night's Dream,A Midsummer Night's Dream,https://www.imdb.com/title/tt0140379/,Movie,6.4,116,1999,"Comedy, Fantasy, Romance",27378,5/14/1999,Michael Hoffman
60,tt0097165,8/20/2015,8/20/2015,"Collected Poems by William Butler Yeats, Dickinson, Keats, Browning",Dead Poets Society,Dead Poets Society,https://www.imdb.com/title/tt0097165/,Movie,8.1,128,1989,"Comedy, Drama",567434,6/9/1989,Peter Weir
61,tt1235124,8/20/2015,8/20/2015,,Dorian Gray,Dorian Gray,https://www.imdb.com/title/tt1235124/,Movie,6.2,112,2009,"Drama, Fantasy, Mystery, Thriller",68918,9/9/2009,Oliver Parker
62,tt0241025,8/20/2015,8/20/2015,,Vanity Fair,Vanity Fair,https://www.imdb.com/title/tt0241025/,Movie,6.2,141,2004,Drama,23682,9/1/2004,Mira Nair
63,tt0065622,8/20/2015,8/20/2015,,The Decameron,Il Decameron,https://www.imdb.com/title/tt0065622/,Movie,7,111,1971,"Comedy, Drama, History, Romance",12645,10/29/1971,Pier Paolo Pasolini
64,tt0442933,8/20/2015,8/20/2015,,Beowulf,Beowulf,https://www.imdb.com/title/tt0442933/,Movie,6.3,115,2007,"Animation, Action, Adventure, Fantasy",175835,11/16/2007,Robert Zemeckis
65,tt1781769,8/20/2015,8/20/2015,,Anna Karenina,Anna Karenina,https://www.imdb.com/title/tt1781769/,Movie,6.6,129,2012,"Drama, Romance",108028,9/7/2012,Joe Wright
66,tt0172318,8/20/2015,8/20/2015,,The Diamond Necklace,The Diamond Necklace,https://www.imdb.com/title/tt0172318/,Movie,,,1921,Drama,0,1921-01,Denison Clift
67,tt0054387,8/20/2015,8/20/2015,,The Time Machine,The Time Machine,https://www.imdb.com/title/tt0054387/,Movie,7.5,103,1960,"Adventure, Romance, Sci-Fi, Thriller",45758,8/25/1960,George Pal
68,tt0327284,8/20/2015,8/20/2015,,Fathers and Sons,Fathers and Sons,https://www.imdb.com/title/tt0327284/,TV Mini Series,,180,1971,,0,10/17/1971,
69,tt0110002,8/20/2015,8/20/2015,,Heart of Darkness,Heart of Darkness,https://www.imdb.com/title/tt0110002/,TV Movie,5.7,100,1993,Drama,2138,3/13/1994,Nicolas Roeg
70,tt0049934,8/20/2015,8/20/2015,,War and Peace,War and Peace,https://www.imdb.com/title/tt0049934/,Movie,6.7,208,1956,"Drama, Romance, War",11056,8/21/1956,King Vidor
71,tt1221224,8/20/2015,8/20/2015,The History of Early Rome by Livy,Rome: Rise and Fall of an Empire,Rome: Rise and Fall of an Empire,https://www.imdb.com/title/tt1221224/,TV Mini Series,7.7,60,2008,"Documentary, History, War",879,7/21/2008,
72,tt0024264,8/20/2015,8/20/2015,,Little Women,Little Women,https://www.imdb.com/title/tt0024264/,Movie,7.2,115,1933,"Drama, Family, Romance, War",8079,11/24/1933,George Cukor
73,tt0081943,8/20/2015,8/20/2015,,The Talisman,The Talisman,https://www.imdb.com/title/tt0081943/,TV Mini Series,7.3,,1980,"Adventure, Drama",28,11/30/1980,
74,tt0126100,8/20/2015,8/20/2015,,Tess of the D'Urbervilles,Tess of the D'Urbervilles,https://www.imdb.com/title/tt0126100/,TV Movie,7.7,180,1998,"Drama, Romance",2141,9/13/1998,Ian Sharp
75,tt0023753,8/20/2015,8/20/2015,,Alice in Wonderland,Alice in Wonderland,https://www.imdb.com/title/tt0023753/,Movie,6.3,76,1933,"Adventure, Family, Fantasy",2705,12/22/1933,"Norman Z. McLeod, Hugh Harman, Rudolf Ising"
76,tt0021814,8/20/2015,8/20/2015,,Dracula,Dracula,https://www.imdb.com/title/tt0021814/,Movie,7.4,75,1931,"Drama, Fantasy, Horror",60783,2/14/1931,"Tod Browning, Karl Freund"
77,tt0050799,8/20/2015,8/20/2015,The Rubáiyát Of Omar Khayyám by Omar Khayyám,Omar Khayyam,Omar Khayyam,https://www.imdb.com/title/tt0050799/,Movie,5.9,101,1957,"Adventure, Biography, Romance",385,8/23/1957,William Dieterle
78,tt0137320,8/20/2015,8/20/2015,,The Red and the Black,Le Rouge et Le Noir,https://www.imdb.com/title/tt0137320/,TV Movie,7.5,200,1997,"Adventure, Drama, Romance",510,12/22/1997,Jean-Daniel Verhaeghe
79,tt0027075,8/20/2015,8/20/2015,,A Tale of Two Cities,A Tale of Two Cities,https://www.imdb.com/title/tt0027075/,Movie,7.8,128,1935,"Drama, History, Romance",6458,12/25/1935,"Jack Conway, Robert Z. Leonard"
80,tt1046520,8/20/2015,8/20/2015,Plato's The Republic,The Great Philosophers: Plato,The Great Philosophers: Plato,https://www.imdb.com/title/tt1046520/,TV Episode,8.6,45,1987,"Documentary, History",6,9/6/1987,
81,tt0223268,8/20/2015,8/20/2015,,Faust,Faust: Love of the Damned,https://www.imdb.com/title/tt0223268/,Movie,4.4,101,2000,"Drama, Fantasy, Horror, Romance",4614,2/2/2001,Brian Yuzna
82,tt0057590,8/20/2015,8/20/2015,,Tom Jones,Tom Jones,https://www.imdb.com/title/tt0057590/,Movie,6.4,129,1963,"Adventure, Comedy, History, Romance",14523,6/27/1963,Tony Richardson
83,tt0268808,8/20/2015,8/20/2015,The Federalist Papers,Founding Fathers,Founding Fathers,https://www.imdb.com/title/tt0268808/,TV Mini Series,7.5,60,2000,"Documentary, History",149,11/27/2000,
84,tt0090019,8/20/2015,8/20/2015,,Silas Marner,Silas Marner: The Weaver of Raveloe,https://www.imdb.com/title/tt0090019/,TV Movie,7.3,92,1985,Drama,713,12/30/1985,Giles Foster
85,tt3966392,8/20/2015,8/20/2015,,Melvyn Bragg's Radical Lives: Rights of Man: Thomas Paine,Melvyn Bragg's Radical Lives: Rights of Man: Thomas Paine,https://www.imdb.com/title/tt3966392/,TV Episode,,,2014,Documentary,0,8/9/2014,Christopher Walker
